,x,accuracy_score,f1_score,roc_auc_score
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,1.4101840775753327e-06
2,0.0,0.0,0.0,1.4392630972829884e-06
3,0.0,0.0,0.0,1.410184077575226e-06
4,0.0,0.0,0.0,1.3191064176407026e-06
5,0.0,0.0,0.0,1.3191064176407026e-06
6,0.0,0.0,0.0,1.4392630972780364e-06
7,0.0,0.0,0.0,8.635578583730165e-07
8,0.0,0.0,0.0,1.410184077585796e-06
9,0.0,0.0,0.0,1.1702778228589002e-17
10,0.0,0.0,0.0,8.635578583566642e-07
11,0.0,0.0,0.0,1.1514104778234387e-06
12,0.0,0.0,0.0,1.1514104778214196e-06
13,0.0,0.0,0.0,1.4101840775766425e-06
14,0.0,0.0,0.0,1.4101840775759216e-06
15,0.0,0.0,0.0,1.4392630972736852e-06
16,0.0,0.0,0.0,1.1514104778214196e-06
17,0.0,0.0,0.0,1.1702778228589002e-17
18,0.0,0.0,0.0,1.4392630972803685e-06
19,0.0,0.0,0.0,1.4392630972755576e-06
20,0.0,0.0,0.0,1.9093982673164948e-06
21,0.0,0.0,0.0,1.6346886430053102e-06
22,0.0,0.0,0.0,1.8710420264766794e-06
23,0.0,0.0,0.0,1.5501337959378184e-06
24,0.0,0.0,0.0,1.410184077582509e-06
25,0.0,0.0,0.0,1.410184077578708e-06
26,0.0,0.0,0.0,1.957609457203392e-06
27,0.0,0.0,0.0,1.439263097280492e-06
28,0.0,0.0,0.0,1.410184077574514e-06
29,0.0,0.0,0.0,2.2482008278134905e-06
30,0.0,0.0,0.0,1.7271157167352574e-06
31,0.0,0.0,0.0,1.1514104778231304e-06
32,0.0,0.0,0.0,1.151410477820375e-06
33,0.0,0.0,0.0,2.0405076106556e-06
34,0.0,0.0,0.0,2.04050761064498e-06
35,0.0,0.0,0.0,1.1514104778296104e-06
36,0.0,0.0,0.0,9.215780422215145e-07
37,0.0,0.002915451895043743,0.0033747008737269736,0.00011039476336033646
38,0.0,0.0033400697485101,0.0038662055504218593,0.0001262620161166741
39,0.0,0.003644314868804681,0.004218376092158714,0.00013702026577067016
40,0.0,0.0029154518950437413,0.0033747008737269706,0.0001105354058722121
41,0.0,0.0,0.0,2.0269806481627057e-17
42,0.0,0.0,0.0,1.1702778228589002e-17
43,0.0,0.0,0.0,2.3405556457178003e-17
44,0.0,0.0,0.0,3.510833468576701e-17
45,0.0,0.0,0.0,2.3405556457178003e-17
46,0.0,0.0,0.0,2.0269806481627057e-17
47,0.0,0.0,0.0,4.6811112914356006e-17
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,1.1702778228589002e-17
50,0.0,0.0,0.0,3.31004553766303e-17
51,0.0,0.0,0.0,3.09626408413875e-17
52,0.0,0.0,0.0,2.6168207644729584e-17
53,0.0,0.0,0.0,3.31004553766303e-17
54,0.0,0.0002226713165673476,0.0002549985560180155,5.276425670646577e-06
55,0.0,0.0,0.0,0.0
