,x,accuracy_score,f1_score,roc_auc_score
0,0.0,0.0,0.0,4.339722813023122e-05
1,0.0,0.000599017219925966,0.0005990172199259598,0.00011885217644192236
2,0.0,0.0008998636336308261,0.0008998636336308261,5.9819649412029026e-05
3,0.0,0.0006876988131624553,0.0006876988131624553,5.452535477395091e-05
4,0.0,0.0010328801095427585,0.0010328801095427585,6.723319162573366e-05
5,0.0,0.0010282109472645226,0.0010282109472645226,7.466997705465767e-05
6,0.0,0.0009921459518175376,0.0009921459518175376,5.563929836755153e-05
7,0.0,0.0013893210230029754,0.0013893210230029754,7.240468480093416e-05
8,0.0,0.000813189180551022,0.000813189180551022,4.035995079717208e-05
9,0.0,0.0005610955116952643,0.0005610955116952643,6.381200273007159e-05
10,0.0,0.0006684373888513126,0.0006684373888513126,5.059628309026486e-05
11,0.0,0.0008648056202959314,0.0008648056202959314,3.378931490899684e-05
12,0.0,0.0003781252883643235,0.0003781252883643235,2.245269962895431e-05
13,0.0,0.00024594918727144523,0.00024594918727144523,3.25366124749579e-05
14,0.0,0.00022246941045605197,0.00022246941045605197,1.2989445157940588e-05
15,0.0,0.0001996724066419927,0.0001996724066419927,2.6654114607172855e-05
16,0.0,0.0001816455129983963,0.0001816455129983963,1.9160735837414987e-05
17,0.0,0.00014831294030404993,0.00014831294030404993,1.9989490730582585e-05
18,0.0,0.0,0.0,2.6039113200992738e-05
19,0.0,0.0,0.0,1.7687806809470028e-05
20,0.0,0.0,0.0,1.570168321457355e-05
21,0.0,0.0,0.0,9.465255071042824e-06
22,0.0,0.0,0.0,1.9577699778410188e-05
23,0.0,0.0,0.0,1.5692788969715028e-05
24,0.0,0.0,0.0,2.096367573919097e-05
25,0.0,0.0,0.0,2.1007259935299126e-05
26,0.0,0.0,0.0,1.3043667902665317e-05
27,0.0,0.00011123470522802267,0.00011123470522802267,1.4503726922007009e-05
28,0.0,0.0001483129403040294,0.0001483129403040294,9.274394578184372e-06
29,0.0,0.0001699138188711766,0.0001699138188711766,1.2282398698337043e-05
30,0.0,0.00016991381887117727,0.00016991381887117727,1.4296372882567862e-05
31,0.0,0.0,0.0,1.4286302641380503e-05
32,0.0,0.0,0.0,9.859174498014772e-06
33,0.0,0.0,0.0,1.2493821305692029e-05
34,0.0,0.0,0.0,1.0914010613573733e-05
35,0.0,0.0,0.0,1.2578101582908833e-05
36,0.0,0.0,0.0,1.2022595202683941e-05
37,0.0,0.0,0.0,1.4494136516163793e-05
38,0.0,0.0,0.0,1.157996720488965e-05
39,0.0,0.0,0.0,1.3200777916671146e-05
40,0.0,0.0,0.0,8.438401840952826e-06
41,0.0,0.0,0.0,9.595785700915305e-06
42,0.0,0.0,0.0,6.760738502051425e-06
43,0.0,0.0,0.0,1.1887414683052692e-05
44,0.0,0.0,0.0,1.0410489254784905e-05
45,0.0,0.0,0.0,9.617809292122184e-06
46,0.0,0.0,0.0,9.626505937875e-06
47,0.0,0.0,0.0,1.3544996748426371e-05
48,0.0,0.0,0.0,8.755749264307025e-06
49,0.0,0.0,0.0,1.0885121430712551e-05
50,0.0,0.0,0.0,9.658220753863861e-06
51,0.0,0.0,0.0,1.2765818525807686e-05
52,0.0,0.0,0.0,1.1135590228072435e-05
53,0.0,0.0,0.0,1.2656258333911238e-05
54,0.0,0.0,0.0,9.919839506768761e-06
55,0.0,0.0,0.0,1.527083200461456e-05
56,0.0,0.0,0.0,1.2353656243153953e-05
57,0.0,0.0,0.0,1.0732248238760516e-05
58,0.0,0.0,0.0,9.178769157568104e-06
59,0.0,0.0,0.0,1.562651081447674e-05
60,0.0,0.0,0.0,1.2780438882462544e-05
61,0.0,0.0,0.0,1.0552384507473624e-05
62,0.0,0.0,0.0,1.2496058601855777e-05
63,0.0,0.0,0.0,1.4077839765954882e-05
64,0.0,0.0,0.0,9.531657104213633e-06
65,0.0,0.0,0.0,8.504628254299448e-06
66,0.0,0.0,0.0,1.4087230127828071e-05
67,0.0,0.0,0.0,9.502291224765772e-06
68,0.0,0.0,0.0,7.485637811188187e-06
69,0.0,0.0,0.0,9.397819452934323e-06
70,0.0,0.0,0.0,1.2096969113492601e-05
71,0.0,0.0,0.0,1.4073231335546973e-05
72,0.0,0.0,0.0,1.1594195011521455e-05
